Date Time,Temp,humidity,uvIndex
01.01.2016 00:00:00,9,88,1
01.01.2016 00:10:00,8,90,1
01.01.2016 00:20:00,7,90,1
01.01.2016 00:30:00,7,86,1
01.01.2016 00:40:00,7,82,1
01.01.2016 00:50:00,9,78,1
01.01.2016 01:00:00,8,82,1
01.01.2016 01:10:00,7,79,1
01.01.2016 01:20:00,7,80,1
01.01.2016 01:30:00,6,81,1
01.01.2016 01:40:00,6,82,2
01.01.2016 01:50:00,7,77,2
01.01.2016 02:00:00,9,69,1
01.01.2016 02:10:00,10,66,1
01.01.2016 02:20:00,8,78,1
01.01.2016 02:30:00,8,79,1
01.01.2016 02:40:00,7,87,1
01.01.2016 02:50:00,7,88,1
01.01.2016 03:00:00,7,87,1
01.01.2016 03:10:00,7,82,2
01.01.2016 03:20:00,12,56,2
01.01.2016 03:30:00,15,53,2
01.01.2016 03:40:00,10,82,1
01.01.2016 03:50:00,7,85,1
01.01.2016 04:00:00,6,83,1
01.01.2016 04:10:00,6,87,1
01.01.2016 04:20:00,6,90,1
01.01.2016 04:30:00,9,83,1
01.01.2016 04:40:00,12,70,2
01.01.2016 04:50:00,13,70,2
01.01.2016 05:00:00,10,82,1
01.01.2016 05:10:00,9,86,1
01.01.2016 05:20:00,5,88,1
01.01.2016 05:30:00,3,88,1
01.01.2016 05:40:00,2,92,1
01.01.2016 05:50:00,3,84,1
01.01.2016 06:00:00,9,64,1
01.01.2016 06:10:00,12,56,2
01.01.2016 06:20:00,7,77,1
01.01.2016 06:30:00,5,84,1
01.01.2016 06:40:00,4,88,1
01.01.2016 06:50:00,4,91,1
01.01.2016 07:00:00,7,93,1
01.01.2016 07:10:00,12,86,2
01.01.2016 07:20:00,14,88,2
01.01.2016 07:30:00,14,94,1
01.01.2016 07:40:00,15,97,1
01.01.2016 07:50:00,14,99,1
01.01.2016 08:00:00,13,99,2
01.01.2016 08:10:00,20,84,2
01.01.2016 08:20:00,19,82,2
01.01.2016 08:30:00,16,92,1
01.01.2016 08:40:00,16,94,2
01.01.2016 08:50:00,18,91,2
01.01.2016 09:00:00,18,92,2
01.01.2016 09:10:00,17,96,1
01.01.2016 09:20:00,16,96,1
01.01.2016 09:30:00,15,98,1
01.01.2016 09:40:00,13,98,2
01.01.2016 09:50:00,13,89,2
01.01.2016 10:00:00,14,74,2
01.01.2016 10:10:00,11,75,2
01.01.2016 10:20:00,8,75,1
01.01.2016 10:30:00,6,80,1
01.01.2016 10:40:00,4,81,1
01.01.2016 10:50:00,3,84,1
01.01.2016 11:00:00,2,85,1
01.01.2016 11:10:00,3,79,1
01.01.2016 11:20:00,6,65,2
01.01.2016 11:30:00,9,61,2
01.01.2016 11:40:00,5,80,1
01.01.2016 11:50:00,5,83,1
01.01.2016 12:00:00,4,83,1
01.01.2016 12:10:00,3,83,1
01.01.2016 12:20:00,2,89,1
01.01.2016 12:30:00,5,78,1
01.01.2016 12:40:00,11,60,2
